 ,Average,Users rated,Name,Averageweight,Minage,Avg_players,Playingtime,Language_dependence
1,7.78,68569,7 Wonders,2.3397,10,4.5,30,No necessary in-game text
2,7.23,48246,King of Tokyo,1.5002,8,4,30,Moderate in-game text - needs crib sheet or paste ups
3,7.26,46666,Love Letter,1.1957,10,3,20,Some necessary text - easily memorized or small crib sheet
4,7.47,44723,Splendor,1.8142,10,3,30,No necessary in-game text
5,`,35136,Forbidden Island,1.7421,10,3,30,Some necessary text - easily memorized or small crib sheet
6,7.72,33233,Patchwork,1.6844,8,2,30,No necessary in-game text
7,7.14,31860,Hanabi,1.6989,8,3.5,25,No necessary in-game text
8,7.3,27810,Takenoko,1.9776,8,3,45,No necessary in-game text
9,7.94,27354,Azul,1.7991,8,3,45,No necessary in-game text
10,7.08,26452,Sushi Go!,1.1628,8,3.5,15,No necessary in-game text
